WELCOME 1 1576960    RTT: 2917783 ns
WELCOME 1 1570816    RTT: 528715 ns
WELCOME 1 487424    RTT: 3660348 ns
WELCOME 1 1095680    RTT: 3191968 ns
WELCOME 1 1201152    RTT: 2883815 ns
WELCOME 1 1879040    RTT: 4482159 ns
WELCOME 1 493568    RTT: 2778482 ns
WELCOME 1 1654784    RTT: 4281979 ns
WELCOME 1 1731584    RTT: 4464559 ns
WELCOME 1 992256    RTT: 2981601 ns
WELCOME 1 1505280    RTT: 2914821 ns
WELCOME 1 1825792    RTT: 3703436 ns
WELCOME 1 1234944    RTT: 2846983 ns
WELCOME 1 1060864    RTT: 2673477 ns
WELCOME 1 1865728    RTT: 2554754 ns
WELCOME 1 990208    RTT: 2869025 ns
WELCOME 1 802816    RTT: 4376054 ns
WELCOME 1 1803264    RTT: 2632343 ns
WELCOME 1 963584    RTT: 5458321 ns
WELCOME 1 1642496    RTT: 3598644 ns
WELCOME 1 1429504    RTT: 2920757 ns
WELCOME 1 1611776    RTT: 1263110 ns
WELCOME 1 1434624    RTT: 4063590 ns
WELCOME 1 1812480    RTT: 2857313 ns
WELCOME 1 686080    RTT: 3991341 ns
WELCOME 1 1542144    RTT: 3611347 ns
WELCOME 1 512000    RTT: 2778274 ns
WELCOME 1 1725440    RTT: 3234849 ns
WELCOME 1 1200128    RTT: 4209874 ns
WELCOME 1 1829888    RTT: 2842249 ns
WELCOME 1 623616    RTT: 4655674 ns
WELCOME 1 1357824    RTT: 4629677 ns
WELCOME 1 1342464    RTT: 2644071 ns
WELCOME 1 967680    RTT: 6006967 ns
WELCOME 1 1243136    RTT: 922720 ns
WELCOME 1 560128    RTT: 4574296 ns
WELCOME 1 1106944    RTT: 3363257 ns
WELCOME 1 1747968    RTT: 2945464 ns
WELCOME 1 491520    RTT: 3552550 ns
WELCOME 1 630784    RTT: 4631932 ns
WELCOME 1 1567744    RTT: 3541479 ns
WELCOME 1 457728    RTT: 3746988 ns
WELCOME 1 917504    RTT: 1906419 ns
WELCOME 1 1325056    RTT: 509828 ns
WELCOME 1 1567744    RTT: 3662413 ns
WELCOME 1 1254400    RTT: 847279 ns
WELCOME 1 1261568    RTT: 2502862 ns
WELCOME 1 671744    RTT: 1007586 ns
WELCOME 1 909312    RTT: 449266 ns
WELCOME 1 1721344    RTT: 861695 ns
WELCOME 1 1305600    RTT: 953087 ns
WELCOME 1 1975296    RTT: 1467619 ns
WELCOME 1 1971200    RTT: 503992 ns
WELCOME 1 1646592    RTT: 643943 ns
WELCOME 1 400384    RTT: 813142 ns
WELCOME 1 574464    RTT: 475455 ns
WELCOME 1 1360896    RTT: 5219454 ns
WELCOME 1 1560576    RTT: 618849 ns
WELCOME 1 892928    RTT: 1259739 ns
WELCOME 1 1880064    RTT: 513728 ns
WELCOME 1 801792    RTT: 2790109 ns
WELCOME 1 1027072    RTT: 1042515 ns
WELCOME 1 1294336    RTT: 837435 ns
WELCOME 1 1732608    RTT: 4044565 ns
WELCOME 1 949248    RTT: 3220081 ns
WELCOME 1 1425408    RTT: 538970 ns
WELCOME 1 865280    RTT: 569761 ns
WELCOME 1 1844224    RTT: 407888 ns
WELCOME 1 1296384    RTT: 558364 ns
WELCOME 1 537600    RTT: 1293685 ns
WELCOME 1 1436672    RTT: 478677 ns
WELCOME 1 556032    RTT: 794824 ns
WELCOME 1 1380352    RTT: 456015 ns
WELCOME 1 1188864    RTT: 858131 ns
WELCOME 1 499712    RTT: 712250 ns
WELCOME 1 880640    RTT: 485082 ns
WELCOME 1 1469440    RTT: 1649946 ns
WELCOME 1 540672    RTT: 451978 ns
WELCOME 1 908288    RTT: 415153 ns
WELCOME 1 1144832    RTT: 752989 ns
WELCOME 1 1817600    RTT: 2116025 ns
WELCOME 1 1756160    RTT: 616330 ns
WELCOME 1 2044928    RTT: 2048860 ns
WELCOME 1 533504    RTT: 438402 ns
WELCOME 1 1763328    RTT: 1552354 ns
WELCOME 1 1112064    RTT: 1727550 ns
WELCOME 1 957440    RTT: 1035303 ns
WELCOME 1 1434624    RTT: 1242092 ns
WELCOME 1 1841152    RTT: 1601638 ns
WELCOME 1 1495040    RTT: 683954 ns
WELCOME 1 335872    RTT: 434178 ns
WELCOME 1 1832960    RTT: 851530 ns
WELCOME 1 1333248    RTT: 419859 ns
