WELCOME 1 1691648    RTT: 1308784 ns
WELCOME 1 624640    RTT: 633276 ns
WELCOME 1 470016    RTT: 322207 ns
WELCOME 1 1342464    RTT: 521905 ns
WELCOME 1 1382400    RTT: 366584 ns
WELCOME 1 821248    RTT: 389659 ns
WELCOME 1 1031168    RTT: 533123 ns
WELCOME 1 1799168    RTT: 809000 ns
WELCOME 1 527360    RTT: 253872 ns
WELCOME 1 1831936    RTT: 1128465 ns
WELCOME 1 1461248    RTT: 592464 ns
WELCOME 1 945152    RTT: 293542 ns
WELCOME 1 1914880    RTT: 333016 ns
WELCOME 1 662528    RTT: 512382 ns
WELCOME 1 2027520    RTT: 478937 ns
WELCOME 1 969728    RTT: 458364 ns
WELCOME 1 572416    RTT: 746267 ns
WELCOME 1 645120    RTT: 655672 ns
WELCOME 1 1499136    RTT: 955401 ns
WELCOME 1 1420288    RTT: 1669987 ns
WELCOME 1 873472    RTT: 523851 ns
WELCOME 1 1288192    RTT: 2536849 ns
WELCOME 1 1287168    RTT: 526536 ns
WELCOME 1 1784832    RTT: 743979 ns
WELCOME 1 760832    RTT: 682039 ns
WELCOME 1 674816    RTT: 1195494 ns
WELCOME 1 1949696    RTT: 673524 ns
WELCOME 1 466944    RTT: 483167 ns
WELCOME 1 966656    RTT: 3420444 ns
WELCOME 1 1582080    RTT: 2744749 ns
WELCOME 1 1799168    RTT: 486392 ns
WELCOME 1 927744    RTT: 883280 ns
WELCOME 1 549888    RTT: 1233966 ns
WELCOME 1 1449984    RTT: 958515 ns
WELCOME 1 996352    RTT: 382935 ns
WELCOME 1 1073152    RTT: 280074 ns
WELCOME 1 1636352    RTT: 290743 ns
WELCOME 1 1561600    RTT: 1115048 ns
WELCOME 1 1617920    RTT: 252896 ns
WELCOME 1 424960    RTT: 2365839 ns
WELCOME 1 1172480    RTT: 807763 ns
WELCOME 1 610304    RTT: 3571478 ns
WELCOME 1 958464    RTT: 6345273 ns
WELCOME 1 628736    RTT: 344210 ns
WELCOME 1 1366016    RTT: 165111 ns
WELCOME 1 1902592    RTT: 2131289 ns
WELCOME 1 1778688    RTT: 1858588 ns
WELCOME 1 345088    RTT: 2107958 ns
WELCOME 1 1960960    RTT: 1203984 ns
WELCOME 1 331776    RTT: 387569 ns
WELCOME 1 1284096    RTT: 582418 ns
WELCOME 1 1593344    RTT: 1482488 ns
WELCOME 1 1084416    RTT: 193024 ns
WELCOME 1 332800    RTT: 237805 ns
WELCOME 1 2018304    RTT: 204392 ns
WELCOME 1 521216    RTT: 206974 ns
WELCOME 1 422912    RTT: 4869098 ns
WELCOME 1 778240    RTT: 284181 ns
WELCOME 1 796672    RTT: 414522 ns
WELCOME 1 503808    RTT: 521867 ns
WELCOME 1 1881088    RTT: 209299 ns
WELCOME 1 1037312    RTT: 1329779 ns
WELCOME 1 1168384    RTT: 1945912 ns
WELCOME 1 1416192    RTT: 955115 ns
WELCOME 1 1680384    RTT: 675357 ns
WELCOME 1 410624    RTT: 579863 ns
WELCOME 1 1832960    RTT: 639222 ns
WELCOME 1 1375232    RTT: 450274 ns
WELCOME 1 1111040    RTT: 433974 ns
WELCOME 1 1354752    RTT: 946048 ns
WELCOME 1 2023424    RTT: 502252 ns
WELCOME 1 1626112    RTT: 460980 ns
WELCOME 1 1510400    RTT: 374310 ns
WELCOME 1 765952    RTT: 792470 ns
WELCOME 1 684032    RTT: 477934 ns
WELCOME 1 711680    RTT: 806828 ns
WELCOME 1 1881088    RTT: 374133 ns
WELCOME 1 642048    RTT: 364307 ns
WELCOME 1 1832960    RTT: 229399 ns
WELCOME 1 416768    RTT: 377467 ns
WELCOME 1 1730560    RTT: 228872 ns
WELCOME 1 1548288    RTT: 215435 ns
WELCOME 1 1394688    RTT: 1623426 ns
WELCOME 1 1497088    RTT: 224653 ns
WELCOME 1 798720    RTT: 358263 ns
WELCOME 1 1694720    RTT: 2091291 ns
WELCOME 1 470016    RTT: 512730 ns
WELCOME 1 1913856    RTT: 566786 ns
WELCOME 1 406528    RTT: 792427 ns
WELCOME 1 1950720    RTT: 396940 ns
WELCOME 1 1602560    RTT: 365641 ns
WELCOME 1 760832    RTT: 1688262 ns
WELCOME 1 1190912    RTT: 247860 ns
WELCOME 1 1674240    RTT: 328585 ns
WELCOME 1 1307648    RTT: 467363 ns
WELCOME 1 610304    RTT: 2504790 ns
WELCOME 1 804864    RTT: 3979263 ns
WELCOME 1 1885184    RTT: 480537 ns
WELCOME 1 568320    RTT: 4319818 ns
WELCOME 1 2011136    RTT: 232621 ns
WELCOME 1 1888256    RTT: 218602 ns
WELCOME 1 1300480    RTT: 1068853 ns
WELCOME 1 1145856    RTT: 460788 ns
WELCOME 1 1422336    RTT: 812830 ns
WELCOME 1 1598464    RTT: 229070 ns
WELCOME 1 738304    RTT: 365465 ns
WELCOME 1 1569792    RTT: 237506 ns
WELCOME 1 1463296    RTT: 213875 ns
WELCOME 1 928768    RTT: 213042 ns
WELCOME 1 528384    RTT: 225935 ns
WELCOME 1 848896    RTT: 903084 ns
WELCOME 1 818176    RTT: 342082 ns
WELCOME 1 939008    RTT: 692036 ns
WELCOME 1 416768    RTT: 368423 ns
WELCOME 1 460800    RTT: 603070 ns
WELCOME 1 1988608    RTT: 1512111 ns
WELCOME 1 1727488    RTT: 256776 ns
WELCOME 1 1607680    RTT: 929432 ns
WELCOME 1 801792    RTT: 3570423 ns
WELCOME 1 562176    RTT: 623915 ns
WELCOME 1 415744    RTT: 356030 ns
WELCOME 1 697344    RTT: 224830 ns
WELCOME 1 1384448    RTT: 411387 ns
WELCOME 1 1088512    RTT: 1057978 ns
WELCOME 1 978944    RTT: 2009626 ns
WELCOME 1 811008    RTT: 1033807 ns
WELCOME 1 1510400    RTT: 1335704 ns
WELCOME 1 605184    RTT: 474372 ns
WELCOME 1 567296    RTT: 2296612 ns
WELCOME 1 1488896    RTT: 250063 ns
WELCOME 1 1785856    RTT: 204697 ns
WELCOME 1 717824    RTT: 186146 ns
WELCOME 1 704512    RTT: 201355 ns
WELCOME 1 1073152    RTT: 3256769 ns
WELCOME 1 479232    RTT: 410566 ns
WELCOME 1 1742848    RTT: 398366 ns
WELCOME 1 980992    RTT: 8770470 ns
WELCOME 1 911360    RTT: 328615 ns
WELCOME 1 784384    RTT: 319092 ns
WELCOME 1 1822720    RTT: 353480 ns
WELCOME 1 1931264    RTT: 212016 ns
WELCOME 1 1543168    RTT: 202827 ns
WELCOME 1 1314816    RTT: 201475 ns
WELCOME 1 2035712    RTT: 211454 ns
WELCOME 1 990208    RTT: 204687 ns
WELCOME 1 1160192    RTT: 194941 ns
WELCOME 1 1789952    RTT: 221602 ns
WELCOME 1 923648    RTT: 193612 ns
WELCOME 1 655360    RTT: 201983 ns
WELCOME 1 661504    RTT: 312307 ns
WELCOME 1 941056    RTT: 210950 ns
WELCOME 1 1034240    RTT: 186317 ns
WELCOME 1 951296    RTT: 340525 ns
WELCOME 1 1490944    RTT: 193115 ns
WELCOME 1 1587200    RTT: 190756 ns
WELCOME 1 1257472    RTT: 207593 ns
WELCOME 1 1913856    RTT: 127643 ns
WELCOME 1 993280    RTT: 152130 ns
WELCOME 1 1358848    RTT: 7847134 ns
WELCOME 1 1922048    RTT: 361934 ns
WELCOME 1 971776    RTT: 432673 ns
WELCOME 1 1620992    RTT: 593257 ns
WELCOME 1 339968    RTT: 435152 ns
WELCOME 1 939008    RTT: 842978 ns
WELCOME 1 339968    RTT: 461647 ns
WELCOME 1 1018880    RTT: 408552 ns
