WELCOME 1 894976    RTT: 1389637 ns
WELCOME 1 1155072    RTT: 704241 ns
WELCOME 1 1761280    RTT: 496924 ns
WELCOME 1 449536    RTT: 840889 ns
WELCOME 1 518144    RTT: 606521 ns
WELCOME 1 1592320    RTT: 1361105 ns
WELCOME 1 1491968    RTT: 501358 ns
WELCOME 1 1764352    RTT: 522139 ns
WELCOME 1 1557504    RTT: 663440 ns
WELCOME 1 429056    RTT: 850481 ns
WELCOME 1 574464    RTT: 683855 ns
WELCOME 1 339968    RTT: 310095 ns
WELCOME 1 1514496    RTT: 256004 ns
WELCOME 1 735232    RTT: 520300 ns
WELCOME 1 1484800    RTT: 285819 ns
WELCOME 1 459776    RTT: 348019 ns
WELCOME 1 328704    RTT: 814893 ns
WELCOME 1 1933312    RTT: 609354 ns
WELCOME 1 1096704    RTT: 1282302 ns
WELCOME 1 2029568    RTT: 912861 ns
WELCOME 1 1899520    RTT: 2756838 ns
WELCOME 1 1710080    RTT: 913492 ns
WELCOME 1 746496    RTT: 431437 ns
WELCOME 1 765952    RTT: 764343 ns
WELCOME 1 1980416    RTT: 2069362 ns
WELCOME 1 1867776    RTT: 1302769 ns
WELCOME 1 1522688    RTT: 654357 ns
WELCOME 1 491520    RTT: 1567265 ns
WELCOME 1 1240064    RTT: 280782 ns
WELCOME 1 1684480    RTT: 835723 ns
WELCOME 1 1508352    RTT: 480952 ns
WELCOME 1 1182720    RTT: 1086935 ns
WELCOME 1 877568    RTT: 229698 ns
WELCOME 1 1158144    RTT: 421264 ns
WELCOME 1 1392640    RTT: 2623817 ns
WELCOME 1 1680384    RTT: 599070 ns
WELCOME 1 1159168    RTT: 415812 ns
WELCOME 1 642048    RTT: 3218342 ns
WELCOME 1 1352704    RTT: 401182 ns
WELCOME 1 1745920    RTT: 2613568 ns
WELCOME 1 706560    RTT: 1259022 ns
WELCOME 1 1809408    RTT: 2640510 ns
WELCOME 1 1503232    RTT: 1919468 ns
WELCOME 1 1302528    RTT: 1658162 ns
WELCOME 1 1316864    RTT: 206912 ns
WELCOME 1 468992    RTT: 2400382 ns
WELCOME 1 1355776    RTT: 3736817 ns
WELCOME 1 1917952    RTT: 406642 ns
WELCOME 1 1947648    RTT: 526354 ns
WELCOME 1 1645568    RTT: 531100 ns
WELCOME 1 1900544    RTT: 767107 ns
WELCOME 1 1444864    RTT: 1530100 ns
WELCOME 1 1729536    RTT: 210608 ns
WELCOME 1 2039808    RTT: 236329 ns
WELCOME 1 1946624    RTT: 214100 ns
WELCOME 1 1424384    RTT: 210678 ns
WELCOME 1 1720320    RTT: 1524998 ns
WELCOME 1 2043904    RTT: 522611 ns
WELCOME 1 422912    RTT: 3602973 ns
WELCOME 1 1851392    RTT: 395979 ns
WELCOME 1 1375232    RTT: 426850 ns
WELCOME 1 373760    RTT: 378433 ns
WELCOME 1 518144    RTT: 2104533 ns
WELCOME 1 1121280    RTT: 2661052 ns
